,標題,價格,商品網址,圖片網址
11,BILLABONG 男 SANDS SS 短袖上衣 黑 ABYZT01729WAA,"1,024",https://shopee.tw//BILLABONG-男-SANDS-SS-短袖上衣-黑-ABYZT01729WAA-i.178207524.22042727022?sp_atk=a5601214-4c2d-4ad9-a539-276fc1eaa47f&xptdk=a5601214-4c2d-4ad9-a539-276fc1eaa47f,https://down-tw.img.susercontent.com/file/680df0e7e5fd37844fd58f15c3af78db_tn
12,CHUMS Logo Pullover Parka 男 兜帽套頭衫 灰/白 CH001114G003 【GO WILD】,"1,490",https://shopee.tw//CHUMS-Logo-Pullover-Parka-男-兜帽套頭衫-灰-白-CH001114G003-【GO-WILD】-i.178207524.4402777329?sp_atk=086a0377-6e8f-46a2-9697-34d891fd82ef&xptdk=086a0377-6e8f-46a2-9697-34d891fd82ef,https://down-tw.img.susercontent.com/file/7bc294139d45da22c1f9664b353a86d1_tn
13,BILLABONG 男 CRAYON WAVE M TEES BLK 短袖T恤 黑ABYZT01276BLK,"1,032",https://shopee.tw//BILLABONG-男-CRAYON-WAVE-M-TEES-BLK-短袖T恤-黑ABYZT01276BLK-i.178207524.23718478591?sp_atk=e85bd3e0-51d5-4ff3-b1a0-211419960763&xptdk=e85bd3e0-51d5-4ff3-b1a0-211419960763,https://down-tw.img.susercontent.com/file/tw-11134207-23010-4fp13th3b0lvba_tn
14,BILLABONG 男 THEME ARCH M TEES BLK 短袖T恤 黑-ABYZT00869BLK,708,https://shopee.tw//BILLABONG-男-THEME-ARCH-M-TEES-BLK-短袖T恤-黑-ABYZT00869BLK-i.178207524.18584694866?sp_atk=5f0372bf-9c2b-4ead-8a6a-1074ef84d913&xptdk=5f0372bf-9c2b-4ead-8a6a-1074ef84d913,https://down-tw.img.susercontent.com/file/tw-11134207-7r991-lm77z81qxdp7c3_tn
15,BILLABONG 男 PREMIUM POCKET SS 短袖T恤 海軍藍-UBYZT00160DNB,578,https://shopee.tw//BILLABONG-男-PREMIUM-POCKET-SS-短袖T恤-海軍藍-UBYZT00160DNB-i.178207524.22856287923?sp_atk=30ea4256-b1c8-42fb-b83f-a6985c3ba603&xptdk=30ea4256-b1c8-42fb-b83f-a6985c3ba603,https://down-tw.img.susercontent.com/file/tw-11134207-7r98u-lm7aoikp1w2j29_tn
16,BILLABONG PREMIUM WAVE WASH 男 短袖T恤 卡其 9572051-KHA,643,https://shopee.tw//BILLABONG-PREMIUM-WAVE-WASH-男-短袖T恤-卡其-9572051-KHA-i.178207524.22342043308?sp_atk=b10f1897-deb8-40bb-87e4-04a824b7d9d3&xptdk=b10f1897-deb8-40bb-87e4-04a824b7d9d3,https://down-tw.img.susercontent.com/file/tw-11134207-7qul3-lgm4d6b2idkc8f_tn
17,BILLABONG 男 SHINE M TEES BLK 短袖T恤 黑-ABYZT01320BLK,"1,032",https://shopee.tw//BILLABONG-男-SHINE-M-TEES-BLK-短袖T恤-黑-ABYZT01320BLK-i.178207524.18293637738?sp_atk=f6166629-3ce5-47ea-a956-e6de6cabef4c&xptdk=f6166629-3ce5-47ea-a956-e6de6cabef4c,https://down-tw.img.susercontent.com/file/tw-11134207-7r98r-lm78z99s8vq1e9_tn
18,BILLABONG 男 MIRAGE M TEES SDU 短袖T恤 淺棕-ABYZT00883SDU,872,https://shopee.tw//BILLABONG-男-MIRAGE-M-TEES-SDU-短袖T恤-淺棕-ABYZT00883SDU-i.178207524.22081776976?sp_atk=302897bc-2908-4670-8922-2fe21863945c&xptdk=302897bc-2908-4670-8922-2fe21863945c,https://down-tw.img.susercontent.com/file/tw-11134207-7r98t-lm789hgm7vrt67_tn
19,BILLABONG 男 PREMIUM POCKET SS 短袖T恤 黑-UBYZT00160BLK,578,https://shopee.tw//BILLABONG-男-PREMIUM-POCKET-SS-短袖T恤-黑-UBYZT00160BLK-i.178207524.20784676544?sp_atk=48660ef3-38b4-4a65-92dd-93071ecf8b88&xptdk=48660ef3-38b4-4a65-92dd-93071ecf8b88,https://down-tw.img.susercontent.com/file/tw-11134207-7r98t-lm7aft5w061l53_tn
20,BILLABONG 男 BONG STACKER M TEES DKF 短袖T恤 深綠-UBYZT00261DKF,773,https://shopee.tw//BILLABONG-男-BONG-STACKER-M-TEES-DKF-短袖T恤-深綠-UBYZT00261DKF-i.178207524.18393638847?sp_atk=2d5c882e-11b1-4bcb-9141-7e59c07e7178&xptdk=2d5c882e-11b1-4bcb-9141-7e59c07e7178,https://down-tw.img.susercontent.com/file/tw-11134207-7r98v-lm7aoil8zo9neb_tn
21,CHUMS Logo 印花 T-Shirt 男女 短袖T恤 多款選擇,896,https://shopee.tw//CHUMS-Logo-印花-T-Shirt-男女-短袖T恤-多款選擇-i.178207524.23333367025?sp_atk=05bfe847-6b5d-4fc4-8461-60af5a8d84f2&xptdk=05bfe847-6b5d-4fc4-8461-60af5a8d84f2,https://down-tw.img.susercontent.com/file/tw-11134207-23030-pbcd13f8evov0f_tn
22,BILLABONG 男 PEAKS M TEES AGA 短袖T恤 湖水綠-ABYZT01142AGA,"1,032",https://shopee.tw//BILLABONG-男-PEAKS-M-TEES-AGA-短袖T恤-湖水綠-ABYZT01142AGA-i.178207524.22181782005?sp_atk=fce81a84-0944-4903-b2ca-7b998fac013b&xptdk=fce81a84-0944-4903-b2ca-7b998fac013b,https://down-tw.img.susercontent.com/file/tw-11134207-7r990-lm789hh68h3t51_tn
23,BILLABONG 男ROTOR SS短袖上衣 綠-ABYZT01949233DTA,944,https://shopee.tw//BILLABONG-男ROTOR-SS短袖上衣-綠-ABYZT01949233DTA-i.178207524.23256288635?sp_atk=9e5c1875-cfa8-4de1-9ba7-710d3f62ffce&xptdk=9e5c1875-cfa8-4de1-9ba7-710d3f62ffce,https://down-tw.img.susercontent.com/file/tw-11134207-7r98t-lm78z9amkasb84_tn
24,BILLABONG ARCH WAVE 男女 短袖T恤 淺桃橘 9518043-LTP,838,https://shopee.tw//BILLABONG-ARCH-WAVE-男女-短袖T恤-淺桃橘-9518043-LTP-i.178207524.20088590209?sp_atk=54d45267-6ae6-4b53-8f1f-2231653720f4&xptdk=54d45267-6ae6-4b53-8f1f-2231653720f4,https://down-tw.img.susercontent.com/file/tw-11134207-7qul5-lglz4eg47jftd5_tn
25,The North Face M FOUNDATION CAMP S/S TEE 男 短袖上衣 NF0A7WF8LK5,999,https://shopee.tw//The-North-Face-M-FOUNDATION-CAMP-S-S-TEE-男-短袖上衣-NF0A7WF8LK5-i.178207524.22965731968?sp_atk=680a927f-7336-4e1c-adbd-bb3756cdd552&xptdk=680a927f-7336-4e1c-adbd-bb3756cdd552,https://down-tw.img.susercontent.com/file/tw-11134207-7qul7-lfv0vgcnv1mpbc_tn
26,The North Face U MFO 男 胸前LOGO座標 短袖上衣 黑 NF0A7WATJK3,962,https://shopee.tw//The-North-Face-U-MFO-男-胸前LOGO座標-短袖上衣-黑-NF0A7WATJK3-i.178207524.22769822190?sp_atk=d32451e8-d846-4a5a-8593-d4c13928e394&xptdk=d32451e8-d846-4a5a-8593-d4c13928e394,https://down-tw.img.susercontent.com/file/tw-11134207-7qul5-lhiy7th5k8ls66_tn
27,BILLABONG ECLIPSE TEE 男 短袖上衣 黑 9518028-BLK,708,https://shopee.tw//BILLABONG-ECLIPSE-TEE-男-短袖上衣-黑-9518028-BLK-i.178207524.22767509577?sp_atk=5d5dd681-8020-4d6f-a705-e50afee955ba&xptdk=5d5dd681-8020-4d6f-a705-e50afee955ba,https://down-tw.img.susercontent.com/file/tw-11134207-7qul4-lglxkqtbmb5ta2_tn
28,The North Face M FOUNDATION CAMP S/S TEE 男 短袖上衣 NF0A7WF8FN4,999,https://shopee.tw//The-North-Face-M-FOUNDATION-CAMP-S-S-TEE-男-短袖上衣-NF0A7WF8FN4-i.178207524.22165992200?sp_atk=8b9c107c-67ce-421f-99b8-08ac9b060674&xptdk=8b9c107c-67ce-421f-99b8-08ac9b060674,https://down-tw.img.susercontent.com/file/tw-11134207-7qul1-lfywub4cf1fl1f_tn
29,BILLABONG 男ROCKIES SS短袖上衣 黑-ABYZT01960233BLK,"1,024",https://shopee.tw//BILLABONG-男ROCKIES-SS短袖上衣-黑-ABYZT01960233BLK-i.178207524.19093635514?sp_atk=b55f2924-67a2-4ca3-aa5c-cd00d35f76b3&xptdk=b55f2924-67a2-4ca3-aa5c-cd00d35f76b3,https://down-tw.img.susercontent.com/file/tw-11134207-7r98t-lm79v3l2zmhlf8_tn
30,BILLABONG 男 男 PEAK WAVE 長袖T恤 黑 9513178BLK,968,https://shopee.tw//BILLABONG-男-男-PEAK-WAVE-長袖T恤-黑-9513178BLK-i.178207524.20268251844?sp_atk=cadf1fcc-8d5d-45a1-b896-94b693fd4c2b&xptdk=cadf1fcc-8d5d-45a1-b896-94b693fd4c2b,https://down-tw.img.susercontent.com/file/sg-11134201-22120-pxukhgm5bzkv38_tn
31,BILLABONG ARCH WAVE 男 短袖T恤 海玻璃綠 9518043-SGL,838,https://shopee.tw//BILLABONG-ARCH-WAVE-男-短袖T恤-海玻璃綠-9518043-SGL-i.178207524.22042043801?sp_atk=7fb102bf-76c9-41ce-9220-3c8bdf479c8a&xptdk=7fb102bf-76c9-41ce-9220-3c8bdf479c8a,https://down-tw.img.susercontent.com/file/tw-11134207-7qul4-lgm4d6a8gs2x82_tn
32,BILLABONG SURF TOUR  男短袖T恤 白-9508020WHT,774,https://shopee.tw//BILLABONG-SURF-TOUR-男短袖T恤-白-9508020WHT-i.178207524.18284696308?sp_atk=24246bd1-eaa4-4509-8a3b-048b8cd47eb5&xptdk=24246bd1-eaa4-4509-8a3b-048b8cd47eb5,https://down-tw.img.susercontent.com/file/tw-11134207-7r98u-lm77d52o2wm351_tn
33,The North Face 男女 休閒運動帽 黑 NF0A4VSVJK3【GO WILD】,699,https://shopee.tw//The-North-Face-男女-休閒運動帽-黑-NF0A4VSVJK3【GO-WILD】-i.178207524.14504621662?sp_atk=62c57b91-3335-4f41-a3be-421f1df17980&xptdk=62c57b91-3335-4f41-a3be-421f1df17980,https://down-tw.img.susercontent.com/file/50b6a1d4d78305d64c77db06bc34a464_tn
34,BILLABONG 男TRANSPORT SS短袖上衣 白-ABYZT01957233OFW,944,https://shopee.tw//BILLABONG-男TRANSPORT-SS短袖上衣-白-ABYZT01957233OFW-i.178207524.23256289657?sp_atk=5196105c-d465-418d-9391-314781943ee6&xptdk=5196105c-d465-418d-9391-314781943ee6,https://down-tw.img.susercontent.com/file/tw-11134207-7r98p-lm79v3l2u07t75_tn
35,The North Face U FOUNDATION WATER S/S TEE 中 短袖上衣 NF0A7WF9FN4,999,https://shopee.tw//The-North-Face-U-FOUNDATION-WATER-S-S-TEE-中-短袖上衣-NF0A7WF9FN4-i.178207524.23265740626?sp_atk=326ae7b3-7c1d-4333-9554-f49c130b33de&xptdk=326ae7b3-7c1d-4333-9554-f49c130b33de,https://down-tw.img.susercontent.com/file/tw-11134207-7qul1-lfv0vgcnmm81eb_tn
36,BILLABONG 男EXIT ARCH SS短袖上衣 白-ABYZT01948233WHT,944,https://shopee.tw//BILLABONG-男EXIT-ARCH-SS短袖上衣-白-ABYZT01948233WHT-i.178207524.23481783271?sp_atk=d27897e1-e203-43e7-911a-f57d47c50d12&xptdk=d27897e1-e203-43e7-911a-f57d47c50d12,https://down-tw.img.susercontent.com/file/tw-11134207-7r98o-lm78z9amg32z5c_tn
37,The North Face 男女舒適休閒連帽大學T 深藍 NF0A5JVSL4U【GO WILD】,"1,690",https://shopee.tw//The-North-Face-男女舒適休閒連帽大學T-深藍-NF0A5JVSL4U【GO-WILD】-i.178207524.15606658302?sp_atk=84d8429d-39a7-4430-bbb0-f2965549436f&xptdk=84d8429d-39a7-4430-bbb0-f2965549436f,https://down-tw.img.susercontent.com/file/6b006dc3ca95ec2fc39fd005609553d9_tn
38,BILLABONG EXPANSION 男 短袖T恤 白 9517037-WHT,838,https://shopee.tw//BILLABONG-EXPANSION-男-短袖T恤-白-9517037-WHT-i.178207524.22742034878?sp_atk=a3155e98-93cf-4938-b403-823dfcbf19f9&xptdk=a3155e98-93cf-4938-b403-823dfcbf19f9,https://down-tw.img.susercontent.com/file/tw-11134207-7qul7-lgm2c8pqjvakd0_tn
39,BILLABONG 男TROPICS PKT短袖上衣 黃-ABYZT01978233YKL0,944,https://shopee.tw//BILLABONG-男TROPICS-PKT短袖上衣-黃-ABYZT01978233YKL0-i.178207524.23556288965?sp_atk=a12889ea-6510-410a-8b6c-870c9278eb32&xptdk=a12889ea-6510-410a-8b6c-870c9278eb32,https://down-tw.img.susercontent.com/file/tw-11134207-7r98o-lm79v3l2vel723_tn
40,BILLABONG 男VALLEY SS短袖上衣 黑-ABYZT01963233WAA,"1,024",https://shopee.tw//BILLABONG-男VALLEY-SS短袖上衣-黑-ABYZT01963233WAA-i.178207524.22881786234?sp_atk=bd75081e-c84a-4f01-91df-c7f9b3b8d5cf&xptdk=bd75081e-c84a-4f01-91df-c7f9b3b8d5cf,https://down-tw.img.susercontent.com/file/tw-11134207-7r990-lm79v3l33u6xa7_tn
41,BILLABONG 男 ILLUSION M TEES OFW 短袖T恤 白-ABYZT01140OFW,"1,032",https://shopee.tw//BILLABONG-男-ILLUSION-M-TEES-OFW-短袖T恤-白-ABYZT01140OFW-i.178207524.22956282661?sp_atk=ca4016b0-1622-4494-b753-1caf8bdb2ce0&xptdk=ca4016b0-1622-4494-b753-1caf8bdb2ce0,https://down-tw.img.susercontent.com/file/tw-11134207-7r98z-lm789hh61g9l81_tn
42,BILLABONG 女 OFF THE MOON 短袖上衣 白 EBJZT00119SCS,944,https://shopee.tw//BILLABONG-女-OFF-THE-MOON-短袖上衣-白-EBJZT00119SCS-i.178207524.23235526087?sp_atk=9f938897-29ab-4e73-bc82-352f4aa8acc6&xptdk=9f938897-29ab-4e73-bc82-352f4aa8acc6,https://down-tw.img.susercontent.com/file/tw-11134207-7qukz-ley2gykcersf09_tn
43,BILLABONG 男 ARCH M TEES BLK 短袖T恤 黑ABYZT01062BLK,"1,032",https://shopee.tw//BILLABONG-男-ARCH-M-TEES-BLK-短袖T恤-黑ABYZT01062BLK-i.178207524.23919046588?sp_atk=d6118b5a-9038-4a1e-934b-0e106d97cec7&xptdk=d6118b5a-9038-4a1e-934b-0e106d97cec7,https://down-tw.img.susercontent.com/file/tw-11134207-23010-rq2b9vp3xemv51_tn
44,BILLABONG 男 ROCKIES M TEES OFW 短袖T恤 白-ABYZT01318OFW,"1,032",https://shopee.tw//BILLABONG-男-ROCKIES-M-TEES-OFW-短袖T恤-白-ABYZT01318OFW-i.178207524.17196207960?sp_atk=778cb667-e7a0-4f1d-bd06-d10a8f2fa532&xptdk=778cb667-e7a0-4f1d-bd06-d10a8f2fa532,https://down-tw.img.susercontent.com/file/tw-11134207-7r991-lm78z99s62l568_tn
45,BILLABONG PREMIUM POCKET 男 短袖T恤 白 9562046WHT 【GO WILD】,445,https://shopee.tw//BILLABONG-PREMIUM-POCKET-男-短袖T恤-白-9562046WHT-【GO-WILD】-i.178207524.8952036672?sp_atk=b32e304d-efcf-422e-84a3-97dac56bab09&xptdk=b32e304d-efcf-422e-84a3-97dac56bab09,https://down-tw.img.susercontent.com/file/95fff8516517117e237526b7c0c48986_tn
46,BILLABONG 男 WALLED SS 短袖上衣 白 ABYZT01700WHT,944,https://shopee.tw//BILLABONG-男-WALLED-SS-短袖上衣-白-ABYZT01700WHT-i.178207524.23235526085?sp_atk=765b22b8-b96a-4850-aa65-eee475ac67e5&xptdk=765b22b8-b96a-4850-aa65-eee475ac67e5,https://down-tw.img.susercontent.com/file/tw-11134207-7qul6-ley2gyk31nhrb3_tn
47,BILLABONG ARTIST VIEW 女短袖T恤 粉橘-6508012P20,595,https://shopee.tw//BILLABONG-ARTIST-VIEW-女短袖T恤-粉橘-6508012P20-i.178207524.21884667345?sp_atk=71519fe9-a0c3-49d4-bc16-cc7f1b6fd203&xptdk=71519fe9-a0c3-49d4-bc16-cc7f1b6fd203,https://down-tw.img.susercontent.com/file/tw-11134207-7r98r-lm75j6fbhcpnf4_tn
48,BILLABONG 女 NEW DAWN 罩衫 水洗黑-6513623WAA,"1,098",https://shopee.tw//BILLABONG-女-NEW-DAWN-罩衫-水洗黑-6513623WAA-i.178207524.23756273831?sp_atk=363a600a-b45e-4be2-b7bf-ab02b46a9e5c&xptdk=363a600a-b45e-4be2-b7bf-ab02b46a9e5c,https://down-tw.img.susercontent.com/file/tw-11134207-7r990-lm75j6flbbtn57_tn
49,BILLABONG 男 EXIT ARCH SS 短袖上衣 白 ABYZT01698WHT,944,https://shopee.tw//BILLABONG-男-EXIT-ARCH-SS-短袖上衣-白-ABYZT01698WHT-i.178207524.22035531826?sp_atk=5e146922-b47b-4c95-815f-00c51434fd12&xptdk=5e146922-b47b-4c95-815f-00c51434fd12,https://down-tw.img.susercontent.com/file/tw-11134207-7qul8-ley2m4zdx83348_tn
50,BILLABONG 女 BEAUTIFUL DAY 短袖上衣 白 EBJZT00121SCS,"1,024",https://shopee.tw//BILLABONG-女-BEAUTIFUL-DAY-短袖上衣-白-EBJZT00121SCS-i.178207524.22035531808?sp_atk=958f3905-e3f3-4140-9dd2-070bf5fbf1d1&xptdk=958f3905-e3f3-4140-9dd2-070bf5fbf1d1,https://down-tw.img.susercontent.com/file/tw-11134207-7quky-ley2vef1o2lr1c_tn
51,BILLABONG 女 SUNRAYS ECO J TEES SCS 短袖T恤 鵝白-UBJZT00121SCS,903,https://shopee.tw//BILLABONG-女-SUNRAYS-ECO-J-TEES-SCS-短袖T恤-鵝白-UBJZT00121SCS-i.178207524.19284679987?sp_atk=8bc4815c-c720-49c0-a983-737ba0ed685e&xptdk=8bc4815c-c720-49c0-a983-737ba0ed685e,https://down-tw.img.susercontent.com/file/tw-11134207-7r98w-lm75j6flmkd70d_tn
52,The North Face M S/S PHOTOPRINT GRAPHIC 男 短袖上衣NF0A81N7N3N,"1,299",https://shopee.tw//The-North-Face-M-S-S-PHOTOPRINT-GRAPHIC-男-短袖上衣NF0A81N7N3N-i.178207524.22540253304?sp_atk=984f4254-9ccb-40fc-bdae-d7ad7fcd61dd&xptdk=984f4254-9ccb-40fc-bdae-d7ad7fcd61dd,https://down-tw.img.susercontent.com/file/tw-11134207-7qul0-lfv0nl8jtb7lf4_tn
53,BILLABONG 女 SUN SEEKER TEE 短袖上衣 白 UBJZT00254WHT,"1,099",https://shopee.tw//BILLABONG-女-SUN-SEEKER-TEE-短袖上衣-白-UBJZT00254WHT-i.178207524.19477325282?sp_atk=3494e02c-aa22-4b4c-b907-50f88771502f&xptdk=3494e02c-aa22-4b4c-b907-50f88771502f,https://down-tw.img.susercontent.com/file/tw-11134207-7qul1-ley2e5g0nt538f_tn
54,BILLABONG 女 CHASE THE SUN LS 長袖T恤 鹽晶 6504072SCY,968,https://shopee.tw//BILLABONG-女-CHASE-THE-SUN-LS-長袖T恤-鹽晶-6504072SCY-i.178207524.21458328042?sp_atk=1366ae1a-99a8-424b-9658-6db74098eee4&xptdk=1366ae1a-99a8-424b-9658-6db74098eee4,https://down-tw.img.susercontent.com/file/sg-11134201-22100-u7lpe1tl67ivaf_tn
55,Lafuma SKIM 男 短袖排汗衣 黑灰 LFV114397085,"1,024",https://shopee.tw//Lafuma-SKIM-男-短袖排汗衣-黑灰-LFV114397085-i.178207524.18009972185?sp_atk=18b8c6c5-b445-4dac-a7f2-7bbe145bdba2&xptdk=18b8c6c5-b445-4dac-a7f2-7bbe145bdba2,https://down-tw.img.susercontent.com/file/1b7b6f9a2f8c39d30f3b35e2e1a5373d_tn
56,CHUMS 男 Big Booby Pullover Parka 兜帽長袖上衣 海軍藍 CH001268N001,"1,540",https://shopee.tw//CHUMS-男-Big-Booby-Pullover-Parka-兜帽長袖上衣-海軍藍-CH001268N001-i.178207524.19858368356?sp_atk=dac3b904-6659-492a-9353-13664f156584&xptdk=dac3b904-6659-492a-9353-13664f156584,https://down-tw.img.susercontent.com/file/sg-11134201-22100-uu9e5y7va8iv5d_tn
57,BILLABONG PREMIUM POCKET 男 短袖T恤 灰 9562046GYM,445,https://shopee.tw//BILLABONG-PREMIUM-POCKET-男-短袖T恤-灰-9562046GYM-i.178207524.7645980330?sp_atk=bea6bf3a-39ce-4ddf-8d7b-845c36f8173a&xptdk=bea6bf3a-39ce-4ddf-8d7b-845c36f8173a,https://down-tw.img.susercontent.com/file/3016c0d1036d5bde13471f0d384f0e69_tn
58,BILLABONG BBTV 男女 短袖T恤 淺桃橘 9518044-LTP,838,https://shopee.tw//BILLABONG-BBTV-男女-短袖T恤-淺桃橘-9518044-LTP-i.178207524.22967501447?sp_atk=07d6dd5c-7f0e-4585-9218-5a8deca31469&xptdk=07d6dd5c-7f0e-4585-9218-5a8deca31469,https://down-tw.img.susercontent.com/file/tw-11134207-7qul8-lglyivxyqr6x4b_tn
59,BILLABONG 男 RANCHER M TEES MIL 短袖T恤 軍綠ABYZT01229MIL,"1,032",https://shopee.tw//BILLABONG-男-RANCHER-M-TEES-MIL-短袖T恤-軍綠ABYZT01229MIL-i.178207524.20971463199?sp_atk=f781b380-e035-4dba-85ef-8f86b97fd52c&xptdk=f781b380-e035-4dba-85ef-8f86b97fd52c,https://down-tw.img.susercontent.com/file/tw-11134207-23010-vt3pzuylzemv2b_tn
60,CHUMS 男 Big Booby Pullover Parka 兜帽長袖上衣 黑色 CH001268K047,"1,540",https://shopee.tw//CHUMS-男-Big-Booby-Pullover-Parka-兜帽長袖上衣-黑色-CH001268K047-i.178207524.15694426687?sp_atk=de74be62-4349-4f44-a826-ad7de8a18a9d&xptdk=de74be62-4349-4f44-a826-ad7de8a18a9d,https://down-tw.img.susercontent.com/file/sg-11134201-22100-pzpod638a8ivd7_tn
61,The North Face M S/S PLACES WE LOVE TEE  男 短袖上衣米灰NF0A86MH7K7,"1,335",https://shopee.tw//The-North-Face-M-S-S-PLACES-WE-LOVE-TEE-男-短袖上衣米灰NF0A86MH7K7-i.178207524.22053998152?sp_atk=efaec026-048b-4c89-9920-b41d7725c9d8&xptdk=efaec026-048b-4c89-9920-b41d7725c9d8,https://down-tw.img.susercontent.com/file/tw-11134207-7r98x-lld23a5abftt9b_tn
62,BILLABONG 男 TROPPO PKT 短袖上衣 綠 ABYZT01716BLL,"1,024",https://shopee.tw//BILLABONG-男-TROPPO-PKT-短袖上衣-綠-ABYZT01716BLL-i.178207524.21388150258?sp_atk=cd629526-3d98-42b6-97d1-906ad5119c53&xptdk=cd629526-3d98-42b6-97d1-906ad5119c53,https://down-tw.img.susercontent.com/file/tw-11134207-7qul0-lg23hslxrt35cb_tn
63,The North Face M MFO KHUMBU ZIP-IN 男 立領抓絨保暖外套NF0A88R7JK3,"4,380",https://shopee.tw//The-North-Face-M-MFO-KHUMBU-ZIP-IN-男-立領抓絨保暖外套NF0A88R7JK3-i.178207524.23056013132?sp_atk=a643f902-5894-4f54-b6f9-8e5142700f2c&xptdk=a643f902-5894-4f54-b6f9-8e5142700f2c,https://down-tw.img.susercontent.com/file/tw-11134207-7r98u-lm4e6c5bylqz0f_tn
